t_s,v_revs,decel_revs2,sin_angle,cos_angle
6.2,0.16851533348880565,0.04890839052791307,-0.7038452405244773,-0.71035334685707
6.3,0.1660184802323883,0.0487088773252727,-0.7739826906068161,-0.6332067550500654
6.4,0.16114475102430248,0.04076965471249139,-0.834864533905879,-0.5504554568955778
6.5,0.15625236122659203,0.048844113253091834,-0.8855178229588218,-0.46460540808547296
6.6,0.15136711234340794,0.048828109004972475,-0.9262102421383055,-0.37700741021643264
6.7,0.146483192536202,0.040682368771764274,-0.9573845007889765,-0.28881640820604726
6.8,0.1416205281074312,0.048819888136838095,-0.979572175698268,-0.20109289544327888
6.9,0.13906699104083486,0.04078629977234035,-0.9935639596535424,-0.11327249479716595
7.0,0.1319113195654964,0.04872369253116442,-0.9995752960467492,-0.02914150876419565
7.1,0.1294149845623238,0.040698341029828576,-0.9985594041461013,0.05365739829122355
7.2,0.12441588337217979,0.04872341891477561,-0.9911079137232783,0.13306052515712768
7.3,0.11968709269488897,0.040794810251891064,-0.9779985149345559,0.20861185197826884
7.4,0.11477373799358759,0.048828125,-0.9599983409935093,0.2800056879595659
7.5,0.1123097220784075,0.03262417210052604,-0.9373390119125766,0.3484186802494299
7.6,0.1074246329816475,0.04073840032307412,-0.9117060320054304,0.41084317105790263
7.7,0.10495250084883168,0.03243169840973319,-0.881921264348354,0.47139673682599953
7.8,0.10012516611176636,0.03256025403703215,-0.8497537309972345,0.5271798522859913
7.9,0.09763728439253327,0.040561548539367706,-0.8158144108067362,0.5783137964116521
8.0,0.09514064414830159,0.024470744716490838,-0.7788174784370163,0.6272506160068778
8.1,0.09033203125,0.032607615336743834,-0.7419804117208296,0.6704215603801745
8.2,0.08796482460169841,0.016268286693588152,-0.7027462017582589,0.7114406341461953
8.3,0.08781642539830159,0.024493690883886643,-0.6624157775901794,0.7491363945234526
8.4,0.08307610358393447,0.016245021774115763,-0.6212576241907175,0.7836063835784554
8.5,0.08293952141610106,0.016259284528885587,-0.5795645591394158,0.8149263290565194
8.6,0.0830078125,0.01625206651330776,-0.5362981787694809,0.8440285916060769
8.7,0.07819335937501393,0.008154282072444138,-0.49289819222979236,0.8700869911087067
8.8,0.08049804687498607,0.008138004459349684,-0.44960997437325806,0.8932249833855288
8.9,0.078125,-1.4591196399275458e-07,-0.4038455094758931,0.9148271992437459
9.0,0.078125,0.008089076779664122,-0.35846486276644607,0.9335432192254588
9.1,0.078125,8.15761905433495e-05,-0.3122248139218168,0.9500082450018457
9.2,0.078125,-4.0681613455717525e-05,-0.265234030285526,0.9641840639517418
9.3,0.078125,0.0,-0.21761326695434854,0.9760350741881438
