record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,22106086,990,883,0,3301,230,0,0,0,0,0,01,0,0,0,0,22106115,801D001D,1048575,15179,00,03
D,22107095,1009,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,22107131,801D001D,1048575,16196,00,03
D,22108120,1025,883,0,3301,254,0,0,0,0,0,01,0,0,0,0,22108161,801D001D,1048575,17232,00,03
D,22109179,1059,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,22109269,801D001D,1048575,18347,00,03
D,22110246,1067,883,0,3301,388,0,0,0,0,0,01,0,0,0,0,22110357,801D001D,1048575,19461,00,03
D,22111170,924,883,0,3301,316,0,0,0,0,0,01,0,0,0,0,22111236,801D001D,1048575,20308,00,03
D,22112174,1004,883,0,3301,314,0,0,0,0,0,01,0,0,0,0,22112240,801D001D,1048575,21312,00,03
D,22113176,1002,883,0,3301,312,0,0,0,0,0,01,0,0,0,0,22113236,801D001D,1048575,22309,00,03
D,22114173,997,883,0,3301,303,0,0,0,0,0,01,0,0,0,0,22114236,801D001D,1048575,23307,00,03
D,22115157,984,883,0,3301,302,0,0,0,0,0,01,0,0,0,0,22115217,801D001D,1048575,24289,00,03
D,22116161,1004,883,0,3301,292,0,0,0,0,0,01,0,0,0,0,22116225,801D001D,1048575,25295,00,03
D,22117145,984,883,0,3301,282,0,0,0,0,0,01,0,0,0,0,22117206,801D001D,1048575,26278,00,03
D,22118171,1026,883,0,3301,313,0,0,0,0,0,01,0,0,0,0,22118238,801D001D,1048575,27310,00,03
D,22119141,970,883,0,3301,283,0,0,0,0,0,01,0,0,0,0,22119202,801D001D,1048575,28271,00,03
D,22120188,1047,883,0,3301,333,0,0,0,0,0,01,0,0,0,0,22120285,801D001D,1048575,29362,00,03
D,22121104,916,883,0,3301,246,0,0,0,0,0,01,0,0,0,0,22121141,801D001D,1048575,30207,00,03
