record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,27082334,992,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27082404,811D002D,1048575,47526,00,03
D,27083344,1010,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,27083401,811D002D,1048575,48522,00,03
D,27084326,982,653,0,3531,267,0,0,0,0,0,01,0,0,0,0,27084391,811D002D,1048575,49514,00,03
D,27085329,1003,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27085387,811D002D,1048575,1,00,03
D,27086347,1018,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,27086431,811D002D,1048575,505,00,03
D,27087344,997,653,0,3531,285,0,0,0,0,0,01,0,0,0,0,27087428,811D002D,1048575,1527,00,03
D,27088367,1023,653,0,3531,308,0,0,0,0,0,01,0,0,0,0,27088458,811D002D,1048575,2537,00,03
D,27089308,941,653,0,3531,240,0,0,0,0,0,01,0,0,0,0,27089345,811D002D,1048575,3413,00,03
D,27090309,1001,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27090351,811D002D,1048575,4419,00,03
D,27091302,993,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27091338,811D002D,1048575,5406,00,03
D,27092300,998,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27092336,811D002D,1048575,6403,00,03
D,27093299,999,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27093334,811D002D,1048575,7401,00,03
D,27094315,1016,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27094358,811D002D,1048575,8426,00,03
D,27095308,993,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27095344,811D002D,1048575,9411,00,03
D,27096317,1009,653,0,3531,264,0,0,0,0,0,01,0,0,0,0,27096394,811D002D,1048575,10469,00,03
D,27097406,1089,653,0,3531,350,0,0,0,0,0,01,0,0,0,0,27097580,811D002D,1048575,11684,00,03
D,27098475,1069,653,0,3531,420,0,0,0,0,0,01,0,0,0,0,27098598,811D002D,1048575,12685,00,03
D,27099344,869,653,0,3531,287,0,0,0,0,0,01,0,0,0,0,27099400,811D002D,1048575,13473,00,03
D,27100332,988,653,0,3531,260,0,0,0,0,0,01,0,0,0,0,27100398,811D002D,1048575,14474,00,03
D,27101345,1013,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27101400,811D002D,1048575,15472,00,03
D,27102327,982,653,0,3531,271,0,0,0,0,0,01,0,0,0,0,27102397,811D002D,1048575,16474,00,03
D,27103345,1018,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27103400,811D002D,1048575,17472,00,03
D,27104332,987,653,0,3531,263,0,0,0,0,0,01,0,0,0,0,27104396,811D002D,1048575,18474,00,03
D,27105344,1012,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27105399,811D002D,1048575,19471,00,03
D,27106326,982,653,0,3531,270,0,0,0,0,0,01,0,0,0,0,27106397,811D002D,1048575,20474,00,03
D,27107359,1033,653,0,3531,290,0,0,0,0,0,01,0,0,0,0,27107448,811D002D,1048575,21542,00,03
D,27108367,1008,653,0,3531,304,0,0,0,0,0,01,0,0,0,0,27108456,811D002D,1048575,22535,00,03
D,27109304,937,653,0,3531,243,0,0,0,0,0,01,0,0,0,0,27109345,811D002D,1048575,23413,00,03
D,27110307,1003,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27110350,811D002D,1048575,24418,00,03
D,27111304,997,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,27111340,811D002D,1048575,25407,00,03
D,27112301,997,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27112338,811D002D,1048575,26406,00,03
D,27113300,999,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27113336,811D002D,1048575,27404,00,03
D,27114313,1013,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27114356,811D002D,1048575,28424,00,03
D,27115308,995,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27115345,811D002D,1048575,29412,00,03
D,27116334,1026,653,0,3531,263,0,0,0,0,0,01,0,0,0,0,27116416,811D002D,1048575,30496,00,03
D,27117402,1068,653,0,3531,347,0,0,0,0,0,01,0,0,0,0,27117578,811D002D,1048575,31685,00,03
